Trade Date,Investments,Ticker,Transaction,Transaction Amount,Share Price,Total shares
11/27/2015,DFA One-Year Fixed Income,DFIHX,Ordinary Dividend Reinvestment Increase,2.07,10.30,0.201,
11/02/2015,DFA One-Year Fixed Income,DFIHX,Exchange Purchase,820.04,10.32,79.461,
11/02/2015,DFA One-Year Fixed Income,DFIHX,Exchange Purchase,273.35,10.32,26.487,
11/02/2015,DFA One-Year Fixed Income,DFIHX,Exchange Purchase,478.35,10.32,46.352,
10/14/2015,DFA One-Year Fixed Income,DFIHX,Exchange Purchase,1021.94,10.33,98.929,
10/14/2015,DFA One-Year Fixed Income,DFIHX,Exchange Purchase,563.46,10.33,54.546,
10/14/2015,DFA One-Year Fixed Income,DFIHX,Exchange Purchase,707.37,10.33,68.477,
10/08/2015,DFA One-Year Fixed Income,DFIHX,Ordinary Dividend Reinvestment Increase,1.27,10.32,0.123,
10/08/2015,DFA One-Year Fixed Income,DFIHX,Ordinary Dividend Reinvestment Increase,0.65,10.32,0.063,
10/08/2015,DFA One-Year Fixed Income,DFIHX,Ordinary Dividend Reinvestment Increase,0.85,10.32,0.082,
10/06/2015,DFA One-Year Fixed Income,DFIHX,Exchange Purchase,1428.81,10.33,138.316,
10/06/2015,DFA One-Year Fixed Income,DFIHX,Exchange Purchase,698.40,10.33,67.609,
10/06/2015,DFA One-Year Fixed Income,DFIHX,Exchange Purchase,944.38,10.33,91.421,
10/02/2015,DFA One-Year Fixed Income,DFIHX,Exchange Purchase,1069.75,10.33,103.558,
10/02/2015,DFA One-Year Fixed Income,DFIHX,Exchange Purchase,589.80,10.33,57.096,
10/02/2015,DFA One-Year Fixed Income,DFIHX,Exchange Purchase,740.45,10.33,71.680,
09/29/2015,DFA One-Year Fixed Income,DFIHX,Exchange Redemption,-553.32,10.32,-53.616,
09/29/2015,DFA One-Year Fixed Income,DFIHX,Exchange Redemption,-277.45,10.32,-26.885,
09/29/2015,DFA One-Year Fixed Income,DFIHX,Exchange Redemption,-369.23,10.32,-35.778,
09/23/2015,DFA One-Year Fixed Income,DFIHX,Exchange Redemption,-553.32,10.32,-53.616,
09/23/2015,DFA One-Year Fixed Income,DFIHX,Exchange Redemption,-277.45,10.32,-26.885,
09/23/2015,DFA One-Year Fixed Income,DFIHX,Exchange Redemption,-369.23,10.32,-35.778,
09/22/2015,DFA One-Year Fixed Income,DFIHX,Exchange Purchase,1426.33,10.32,138.210,
09/22/2015,DFA One-Year Fixed Income,DFIHX,Exchange Purchase,786.40,10.32,76.202,
09/22/2015,DFA One-Year Fixed Income,DFIHX,Exchange Purchase,987.27,10.32,95.666,
09/16/2015,DFA One-Year Fixed Income,DFIHX,Exchange Purchase,410.01,10.31,39.768,
09/16/2015,DFA One-Year Fixed Income,DFIHX,Exchange Purchase,136.67,10.31,13.256,
09/16/2015,DFA One-Year Fixed Income,DFIHX,Exchange Purchase,239.17,10.31,23.198,
09/11/2015,DFA One-Year Fixed Income,DFIHX,Exchange Redemption,-98.40,10.31,-9.544,
09/11/2015,DFA One-Year Fixed Income,DFIHX,Exchange Redemption,-40.40,10.31,-3.919,
09/11/2015,DFA One-Year Fixed Income,DFIHX,Exchange Redemption,-61.20,10.31,-5.936,
09/09/2015,DFA One-Year Fixed Income,DFIHX,Ordinary Dividend Reinvestment Increase,0.05,10.31,0.005,
09/09/2015,DFA One-Year Fixed Income,DFIHX,Ordinary Dividend Reinvestment Increase,0.02,10.31,0.002,
09/09/2015,DFA One-Year Fixed Income,DFIHX,Ordinary Dividend Reinvestment Increase,0.03,10.31,0.003,
09/01/2015,DFA One-Year Fixed Income,DFIHX,Exchange Purchase,37.43,10.32,3.627,
09/01/2015,DFA One-Year Fixed Income,DFIHX,Exchange Purchase,12.47,10.32,1.208,
09/01/2015,DFA One-Year Fixed Income,DFIHX,Exchange Purchase,21.83,10.32,2.115,
