Trade Date,Investments,Ticker,Transaction,Transaction Amount,Share Price,Total shares
05/31/2016,Vanguard Prime Money Market,VMMXX,ACH Contribution,492.69,1.00,492.690,
05/31/2016,Vanguard Prime Money Market,VMMXX,ACH Contribution,70.39,1.00,70.390,
05/31/2016,Vanguard Prime Money Market,VMMXX,ACH Contribution,281.54,1.00,281.540,
05/16/2016,Vanguard Prime Money Market,VMMXX,Exchange Redemption,-492.69,1.00,-492.690,
05/16/2016,Vanguard Prime Money Market,VMMXX,Exchange Redemption,-70.39,1.00,-70.390,
05/16/2016,Vanguard Prime Money Market,VMMXX,Exchange Redemption,-281.54,1.00,-281.540,
05/13/2016,Vanguard Prime Money Market,VMMXX,ACH Contribution,492.69,1.00,492.690,
05/13/2016,Vanguard Prime Money Market,VMMXX,ACH Contribution,70.39,1.00,70.390,
05/13/2016,Vanguard Prime Money Market,VMMXX,ACH Contribution,281.54,1.00,281.540,
04/29/2016,Vanguard Prime Money Market,VMMXX,Daily Accrual Dividend Reinvestment Incr,0.03,1.00,0.030,
04/29/2016,Vanguard Prime Money Market,VMMXX,Daily Accrual Dividend Reinvestment Incr,0.01,1.00,0.010,
04/29/2016,Vanguard Prime Money Market,VMMXX,Daily Accrual Dividend Reinvestment Incr,0.02,1.00,0.020,
04/29/2016,Vanguard Prime Money Market,VMMXX,Exchange Redemption,-492.72,1.00,-492.720,
04/29/2016,Vanguard Prime Money Market,VMMXX,Exchange Redemption,-70.40,1.00,-70.400,
04/29/2016,Vanguard Prime Money Market,VMMXX,Exchange Redemption,-281.56,1.00,-281.560,
04/29/2016,Vanguard Prime Money Market,VMMXX,ACH Contribution,492.69,1.00,492.690,
04/29/2016,Vanguard Prime Money Market,VMMXX,ACH Contribution,70.39,1.00,70.390,
04/29/2016,Vanguard Prime Money Market,VMMXX,ACH Contribution,281.54,1.00,281.540,
04/19/2016,Vanguard Prime Money Market,VMMXX,Exchange Redemption,-492.69,1.00,-492.690,
04/19/2016,Vanguard Prime Money Market,VMMXX,Exchange Redemption,-70.39,1.00,-70.390,
04/19/2016,Vanguard Prime Money Market,VMMXX,Exchange Redemption,-281.54,1.00,-281.540,
04/15/2016,Vanguard Prime Money Market,VMMXX,ACH Contribution,492.69,1.00,492.690,
04/15/2016,Vanguard Prime Money Market,VMMXX,ACH Contribution,70.39,1.00,70.390,
04/15/2016,Vanguard Prime Money Market,VMMXX,ACH Contribution,281.54,1.00,281.540,
04/04/2016,Vanguard Prime Money Market,VMMXX,Exchange Redemption,-422.38,1.00,-422.380,
04/04/2016,Vanguard Prime Money Market,VMMXX,Exchange Redemption,-140.79,1.00,-140.790,
04/04/2016,Vanguard Prime Money Market,VMMXX,Exchange Redemption,-281.58,1.00,-281.580,
03/31/2016,Vanguard Prime Money Market,VMMXX,Daily Accrual Dividend Reinvestment Incr,0.07,1.00,0.070,
03/31/2016,Vanguard Prime Money Market,VMMXX,Daily Accrual Dividend Reinvestment Incr,0.02,1.00,0.020,
03/31/2016,Vanguard Prime Money Market,VMMXX,Daily Accrual Dividend Reinvestment Incr,0.04,1.00,0.040,
03/31/2016,Vanguard Prime Money Market,VMMXX,ACH Contribution,422.31,1.00,422.310,
03/31/2016,Vanguard Prime Money Market,VMMXX,ACH Contribution,140.77,1.00,140.770,
03/31/2016,Vanguard Prime Money Market,VMMXX,ACH Contribution,281.54,1.00,281.540,
03/18/2016,Vanguard Prime Money Market,VMMXX,Exchange Redemption,-422.31,1.00,-422.310,
03/18/2016,Vanguard Prime Money Market,VMMXX,Exchange Redemption,-140.77,1.00,-140.770,
03/18/2016,Vanguard Prime Money Market,VMMXX,Exchange Redemption,-281.54,1.00,-281.540,
03/15/2016,Vanguard Prime Money Market,VMMXX,ACH Contribution,422.31,1.00,422.310,
03/15/2016,Vanguard Prime Money Market,VMMXX,ACH Contribution,140.77,1.00,140.770,
03/15/2016,Vanguard Prime Money Market,VMMXX,ACH Contribution,281.54,1.00,281.540,
03/09/2016,Vanguard Prime Money Market,VMMXX,Exchange Redemption,-422.48,1.00,-422.480,
03/09/2016,Vanguard Prime Money Market,VMMXX,Exchange Redemption,-140.83,1.00,-140.830,
03/09/2016,Vanguard Prime Money Market,VMMXX,Exchange Redemption,-281.64,1.00,-281.640,
02/29/2016,Vanguard Prime Money Market,VMMXX,Daily Accrual Dividend Reinvestment Incr,0.17,1.00,0.170,
02/29/2016,Vanguard Prime Money Market,VMMXX,Daily Accrual Dividend Reinvestment Incr,0.06,1.00,0.060,
02/29/2016,Vanguard Prime Money Market,VMMXX,Daily Accrual Dividend Reinvestment Incr,0.10,1.00,0.100,
02/29/2016,Vanguard Prime Money Market,VMMXX,ACH Contribution,422.31,1.00,422.310,
02/29/2016,Vanguard Prime Money Market,VMMXX,ACH Contribution,140.77,1.00,140.770,
02/29/2016,Vanguard Prime Money Market,VMMXX,ACH Contribution,281.54,1.00,281.540,
02/22/2016,Vanguard Prime Money Market,VMMXX,Exchange Redemption,-422.31,1.00,-422.310,
02/22/2016,Vanguard Prime Money Market,VMMXX,Exchange Redemption,-140.77,1.00,-140.770,
02/22/2016,Vanguard Prime Money Market,VMMXX,Exchange Redemption,-281.54,1.00,-281.540,
02/12/2016,Vanguard Prime Money Market,VMMXX,ACH Contribution,422.31,1.00,422.310,
02/12/2016,Vanguard Prime Money Market,VMMXX,ACH Contribution,140.77,1.00,140.770,
02/12/2016,Vanguard Prime Money Market,VMMXX,ACH Contribution,281.54,1.00,281.540,
02/08/2016,Vanguard Prime Money Market,VMMXX,Exchange Redemption,-1652.32,1.00,-1652.320,
02/08/2016,Vanguard Prime Money Market,VMMXX,Exchange Redemption,-550.77,1.00,-550.770,
02/08/2016,Vanguard Prime Money Market,VMMXX,Exchange Redemption,-1101.55,1.00,-1101.550,
01/29/2016,Vanguard Prime Money Market,VMMXX,Daily Accrual Dividend Reinvestment Incr,0.01,1.00,0.010,
01/29/2016,Vanguard Prime Money Market,VMMXX,Daily Accrual Dividend Reinvestment Incr,0.01,1.00,0.010,
01/29/2016,Vanguard Prime Money Market,VMMXX,ACH Contribution,1652.31,1.00,1652.310,
01/29/2016,Vanguard Prime Money Market,VMMXX,ACH Contribution,550.77,1.00,550.770,
01/29/2016,Vanguard Prime Money Market,VMMXX,ACH Contribution,1101.54,1.00,1101.540,
